stimulusValue,stimulusValueType,stimulusType,correctResponse,keyCode,response
he,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
never,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
had,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
enough,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
time.,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
Did the manager interrupt?,text,Question-GP-comma-factual,Yes,ArrowLeft,Yes
While,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
truck,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
drove,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
past,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
Fred,text,ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
stared,text,disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
at,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
coach's,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
car.,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
Was Fred passed by the truck?,text,Question-GP-comma-good_enough,No,ArrowRight,No
While,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
reporter,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
wrote,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
CEO,text,ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
proffered,text,disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
a,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
new,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
product,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
for,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
him,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
to,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
review.,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
Was the reporter writing to the CEO?,text,Question-GP-no_comma-good_enough,No,ArrowRight,No
While,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
physicist,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
taught,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
Kirk,text,ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
squinted,text,disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
at,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
equations,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
on,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
blackboard.,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
Was the physicist teaching?,text,Question-GP-comma-factual,Yes,ArrowLeft,Yes
After,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
customer,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
paid,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
cashier,text,ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
intimated,text,disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
that,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
store,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
was,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
overpriced.,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
Was  the store cheap?,text,Question-GP-comma-factual,No,ArrowRight,No
When,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
fighting,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
finished,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
rebels,text,ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
waylaid,text,disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
travellers,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
on,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
dusty,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
road.,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
Were the rebels waylaid?,text,Question-GP-comma-factual,No,ArrowRight,No
Once,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
nurse,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
rang,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
doctor,text,ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
ambled,text,disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
over,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
to,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
operating,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
room.,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
Did the doctor amble?,text,Question-GP-no_comma-factual,Yes,ArrowLeft,Yes
Before,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
boy,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
visited,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
girl,text,ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
tweezed,text,disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
her,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
eyebrows,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
and,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
put,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
on,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
make-up.,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
Did the girl paint her nails?,text,Question-GP-no_comma-factual,No,ArrowRight,No
After,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
roommate,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
prepared,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
Kevin,text,ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
rapped,text,disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
his,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
wine,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
glass,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
with,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
his,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
knife.,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
Was the roommate preparing himself?,text,Question-GP-comma-good_enough,Yes,ArrowLeft,Yes
While,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
Ruby,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
drove,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
Clay,text,ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
scoured,text,disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
passing,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
landscape,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
for,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
a,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
McDonald's.,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
Was Clay driven by Ruby?,text,Question-GP-comma-good_enough,No,ArrowRight,No
When,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
teacher,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
lectured,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
students,text,ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
entrusted,text,disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
notes,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
to,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
each,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
other.,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
Did the teacher lecture the students?,text,Question-GP-no_comma-good_enough,No,ArrowRight,No
At,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
dinner,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
while,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
Alex,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
served,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
his,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
guest,text,ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
disclosed,text,disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
that,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
she,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
was,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
pregnant.,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
Did the guest announce something?,text,Question-GP-comma-good_enough,No,ArrowRight,No
While,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
woman,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
raced,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
Kari,text,ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
strode,text,disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
ahead,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
in,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
last,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
lap,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
around,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
track.,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
Was Kari ahead in the last lap?,text,Question-GP-comma-factual,Yes,ArrowLeft,Yes
After,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
dance,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
when,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
Renee,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
leaned,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
over,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
Allen,text,ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
butted,text,disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
in,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
line,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
for,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
bathroom.,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
Did Renee lean over Allen?,text,Question-GP-no_comma-good_enough,No,ArrowRight,No
When,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
bank,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
employee,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
called,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
officer,text,ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
pacified,text,disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
crowd,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
outside.,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
Was the officer called by the bank employee?,text,Question-GP-comma-good_enough,No,ArrowRight,No
While,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
child,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
observed,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
artist,text,ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
smeared,text,disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
paper,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
with,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
paint.,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
Was the child observing?,text,Question-GP-comma-factual,Yes,ArrowLeft,Yes
While,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
Robert,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
filmed,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
Paul,text,ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
chronicled,text,disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
how,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
much,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
footage,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
they,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
had,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
already,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
had.,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
Was Robert filming Paul?,text,Question-GP-no_comma-good_enough,No,ArrowRight,No
When,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
Lisa,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
probed,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
Mark,text,ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
contended,text,disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
that,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
heat,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
affected,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
his,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
chemical,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
reaction.,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
Did Lisa probe Mark?,text,Question-GP-comma-good_enough,No,ArrowRight,No
While,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
Bert,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
wrote,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
Troy,text,ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
recounted,text,disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
his,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
trip,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
to,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
Italy,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
over,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
summer.,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
Was Bert writing to someone?,text,Question-GP-no_comma-factual,Yes,ArrowLeft,Yes
When,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
Curt,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
asked,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
Lacy,text,ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
budgeted,text,disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
extra,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
blankets,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
for,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
bed,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
on,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
porch.,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
Was Lacy budgeting?,text,Question-GP-no_comma-factual,Yes,ArrowLeft,Yes
After,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
nurse,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
bathed,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
Julie,text,ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
mopped,text,disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
bathroom,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
floor.,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
Did the nurse bathe herself?,text,Question-GP-no_comma-good_enough,Yes,ArrowLeft,Yes
While,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
Milo,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
pushed,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
decorator,text,ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
argued,text,disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
about,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
paint,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
colour,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
in,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
living,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
room.,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
Was the decorator pushed?,text,Question-GP-comma-factual,No,ArrowRight,No
After,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
her,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
boyfriend,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
left,text,pre_ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
Jane,text,ambiguity-GP-comma-good_enough,Continue,ArrowRight,Continue
yelled,text,disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
swear,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
words,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
after,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
him.,text,post_disambiguation-GP-comma-good_enough,Continue,ArrowRight,Continue
Did her boyfriend leave Jane?,text,Question-GP-comma-good_enough,No,ArrowRight,No
After,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
fight,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
while,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
Kate,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
posed,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
Megan,text,ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
amassed,text,disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
some,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
reporters.,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
Was Megan posed by Kate?,text,Question-GP-no_comma-good_enough,No,ArrowRight,No
While,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
Dale,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
rushed,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
Alec,text,ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
